id,title,context,question,answers
56e7bf1b37bdd419002c43e7,Nanjing,"Nanjing is one of the most beautiful cities of mainland China with lush green parks, natural scenic lakes, small mountains, historical buildings and monuments, relics and much more, which attracts thousands of tourists every year.",List three natural attractions of Nanjing.,"{'text': ['lush green parks, natural scenic lakes, small mountains'], 'answer_start': [67]}"
57277c71dd62a815002e9e63,Turner_Classic_Movies,"In 2008, TCM won a Peabody Award for excellence in broadcasting. In April 2010, Turner Classic Movies held the first TCM Classic Film Festival, an event – now held annually – at the Grauman's Chinese Theater and the Grauman's Egyptian Theater in Hollywood. Hosted by Robert Osborne, the four-day long annual festival celebrates Hollywood and its movies, and features celebrity appearances, special events, and screenings of around 50 classic movies including several newly restored by the Film Foundation, an organization devoted to preserving Hollywood's classic film legacy.",For what reason is a Peabody Award granted?,"{'text': ['excellence in broadcasting'], 'answer_start': [37]}"
56d99c62dc89441400fdb5e4,Dog,"The origin of the domestic dog (Canis lupus familiaris or Canis familiaris) is not clear. Whole genome sequencing indicates that the dog, the gray wolf and the extinct Taymyr wolf diverged at around the same time 27,000–40,000 years ago. These dates imply that the earliest dogs arose in the time of human hunter-gatherers and not agriculturists. Modern dogs are more closely related to ancient wolf fossils that have been found in Europe than they are to modern gray wolves. Nearly all dog breeds' genetic closeness to the gray wolf are due to admixture, except several Arctic dog breeds are close to the Taimyr wolf of North Asia due to admixture.",Some Arctic breeds are more like what wolf rather than the gray wolf?,"{'text': ['Taimyr'], 'answer_start': [606]}"
56fae60d8f12f31900630270,Somalis,"Somali art is the artistic culture of the Somali people, both historic and contemporary. These include artistic traditions in pottery, music, architecture, wood carving and other genres. Somali art is characterized by its aniconism, partly as a result of the vestigial influence of the pre-Islamic mythology of the Somalis coupled with their ubiquitous Muslim beliefs. However, there have been cases in the past of artistic depictions representing living creatures, such as certain ancient rock paintings in northern Somalia, the golden birds on the Mogadishan canopies, and the plant decorations on religious tombs in southern Somalia. More typically, intricate patterns and geometric designs, bold colors and monumental architecture were the norm.","Along with wood carving, architecture and pottery, what is a notable Somali artistic tradition?","{'text': ['music'], 'answer_start': [135]}"
572850e43acd2414000df8f6,LaserDisc,"Another significant issue unique to LaserDisc is one involving the inconsistency of playback quality between different makers and models of player. On most televisions, a given DVD player will produce a picture that is visually indistinguishable from other units. Differences in image quality between players only becomes easily apparent on large televisions and substantial leaps in image quality are generally only obtained with expensive, high-end players that allow for post-processing of the MPEG-2 stream during playback. In contrast, LaserDisc playback quality is highly dependent on hardware quality. Major variances in picture quality appear between different makers and models of LD players, even when tested on a low to mid-range television. The obvious benefits of using high quality equipment has helped keep demand for some players high, thus also keeping pricing for those units comparably high. In the 1990s, notable players sold for anywhere from US$200 to well over $1,000, while older and less desirable players could be purchased in working condition for as little as $25.",What range of prices were high-end LaserDisc players in the 1990s?,"{'text': ['US$200 to well over $1,000'], 'answer_start': [964]}"
5723fa94f6b826140030fd1f,Queen_Victoria,"Russell's ministry, though Whig, was not favoured by the Queen. She found particularly offensive the Foreign Secretary, Lord Palmerston, who often acted without consulting the Cabinet, the Prime Minister, or the Queen. Victoria complained to Russell that Palmerston sent official dispatches to foreign leaders without her knowledge, but Palmerston was retained in office and continued to act on his own initiative, despite her repeated remonstrances. It was only in 1851 that Palmerston was removed after he announced the British government's approval of President Louis-Napoleon Bonaparte's coup in France without consulting the Prime Minister. The following year, President Bonaparte was declared Emperor Napoleon III, by which time Russell's administration had been replaced by a short-lived minority government led by Lord Derby.",What was the name of the foreign secretary that Victoria found offensive?,"{'text': ['Lord Palmerston'], 'answer_start': [120]}"
571b1eef9499d21900609c20,Asphalt,"Roads in the US have been paved with materials that include asphalt/bitumen since at least 1870, when a street in front of the Newark, NJ City Hall was paved. In many cases, these early pavings were made from naturally occurring ""bituminous rock"", such as at Ritchie Mines in Macfarlan in Ritchie County, West Virginia from 1852 to 1873. In 1876, asphalt-based paving was used to pave Pennsylvania Avenue in Washington, DC, in time for the celebration of the national centennial. Asphalt/bitumen was also used for flooring, paving and waterproofing of baths and swimming pools during the early 20th century, following similar trends in Europe.",From what Virginia  mines was asphalt obtained for early street pavings?,"{'text': ['Ritchie Mines'], 'answer_start': [259]}"
5725f56a89a1e219009ac106,Arsenal_F.C.,"Arsenal's home colours have been the inspiration for at least three other clubs. In 1909, Sparta Prague adopted a dark red kit like the one Arsenal wore at the time; in 1938, Hibernian adopted the design of the Arsenal shirt sleeves in their own green and white strip. In 1920, Sporting Clube de Braga's manager returned from a game at Highbury and changed his team's green kit to a duplicate of Arsenal's red with white sleeves and shorts, giving rise to the team's nickname of Os Arsenalistas. These teams still wear those designs to this day.","By coping the Arsenal team kit exactly, what nickname was given to Sporting Clube de Braga?","{'text': ['Os Arsenalistas'], 'answer_start': [479]}"
56dfa2414a1a83140091ebde,Hunter-gatherer,"To this day, most hunter-gatherers have a symbolically structured sexual division of labour. However, it is true that in a small minority of cases, women hunt the same kind of quarry as men, sometimes doing so alongside men. The best-known example are the Aeta people of the Philippines. According to one study, ""About 85% of Philippine Aeta women hunt, and they hunt the same quarry as men. Aeta women hunt in groups and with dogs, and have a 31% success rate as opposed to 17% for men. Their rates are even better when they combine forces with men: mixed hunting groups have a full 41% success rate among the Aeta."" Among the Ju'/hoansi people of Namibia, women help men track down quarry. Women in the Australian Martu also primarily hunt small animals like lizards to feed their children and maintain relations with other women.",How is labor often divided in these groups?,"{'text': ['sexual division'], 'answer_start': [66]}"
56de69b2cffd8e1900b4b891,Plymouth,"During the Hundred Years' War a French attack (1340) burned a manor house and took some prisoners, but failed to get into the town. In 1403 the town was burned by Breton raiders. In the late fifteenth century a 'castle quadrate' was constructed close to the area now known as The Barbican; it included four round towers, one at each corner, as featured on the city coat of arms. The castle served to protect Sutton Pool, which is where the fleet was based in Plymouth prior to the establishment of Plymouth Dockyard. In 1512 an Act of Parliament was passed for further fortifying Plymouth, and a series of fortifications were then built, including defensive walls at the entrance to Sutton Pool (across which a chain would be extended in time of danger). Defences on St Nicholas Island also date from this time, and a string of six artillery blockhouses were built, including one on Fishers Nose at the south-eastern corner of the Hoe. This location was further strengthened by the building of a fort (later known as Drake's Fort) in 1596, which itself went on to provide the site for the Citadel, established in the 1660s (see below).","Before Plymouth dockyard was built, where was the fleet located?","{'text': ['Sutton Pool'], 'answer_start': [408]}"
572820f34b864d190016450b,"St._John%27s,_Newfoundland_and_Labrador","The LSPU Hall is home to the Resource Centre for the Arts. The ""Hall"" hosts a vibrant and diverse arts community and is regarded as the backbone of artistic infrastructure and development in the downtown. The careers of many well-known Newfoundland artists were launched there including Rick Mercer, Mary Walsh, Cathy Jones, Andy Jones and Greg Thomey. The St. John's Arts and Culture Centre houses an art gallery, libraries and a 1000-seat theatre, which is the city's major venue for entertainment productions.",Where is Rick Mercer from?,"{'text': ['Newfoundland'], 'answer_start': [236]}"
572f827604bcaa1900d76a45,Han_dynasty,"In Han government, the emperor was the supreme judge and lawgiver, the commander-in-chief of the armed forces and sole designator of official nominees appointed to the top posts in central and local administrations; those who earned a 600-dan salary-rank or higher. Theoretically, there were no limits to his power. However, state organs with competing interests and institutions such as the court conference (tingyi 廷議)—where ministers were convened to reach majority consensus on an issue—pressured the emperor to accept the advice of his ministers on policy decisions. If the emperor rejected a court conference decision, he risked alienating his high ministers. Nevertheless, emperors sometimes did reject the majority opinion reached at court conferences.",Who was considered to be the supreme judge in Han government?,"{'text': ['the emperor'], 'answer_start': [19]}"
570b28f1ec8fbc190045b89d,Xbox_360,"At the 2007, 2008, and 2009 Consumer Electronics Shows, Microsoft had announced that IPTV services would soon be made available to use through the Xbox 360. In 2007, Microsoft chairman Bill Gates stated that IPTV on Xbox 360 was expected to be available to consumers by the holiday season, using the Microsoft TV IPTV Edition platform. In 2008, Gates and president of Entertainment & Devices Robbie Bach announced a partnership with BT in the United Kingdom, in which the BT Vision advanced TV service, using the newer Microsoft Mediaroom IPTV platform, would be accessible via Xbox 360, planned for the middle of the year. BT Vision's DVR-based features would not be available on Xbox 360 due to limited hard drive capacity. In 2010, while announcing version 2.0 of Microsoft Mediaroom, Microsoft CEO Steve Ballmer mentioned that AT&T's U-verse IPTV service would enable Xbox 360s to be used as set-top boxes later in the year. As of January 2010, IPTV on Xbox 360 has yet to be deployed beyond limited trials.",What UK company did Microsoft partner with to bring IPTV to the 360?,"{'text': ['BT'], 'answer_start': [433]}"
57318db6a5e9cc1400cdc05a,University,"Many scholars (including Makdisi) have argued that early medieval universities were influenced by the religious madrasahs in Al-Andalus, the Emirate of Sicily, and the Middle East (during the Crusades). Other scholars see this argument as overstated. Lowe and Yasuhara have recently drawn on the well-documented influences of scholarship from the Islamic world on the universities of Western Europe to call for a reconsideration of the development of higher education, turning away from a concern with local institutional structures to a broader consideration within a global context.",Al-Andalus was an Emirate of which entity?,"{'text': ['Sicily'], 'answer_start': [152]}"
57268081f1498d1400e8e1e8,Mexico_City,"The politics pursued by the administrations of heads of government in Mexico City since the second half of the 20th century have usually been more liberal than those of the rest of the country, whether with the support of the federal government—as was the case with the approval of several comprehensive environmental laws in the 1980s—or through laws recently approved by the Legislative Assembly. In April of the same year, the Legislative Assembly expanded provisions on abortions, becoming the first federal entity to expand abortion in Mexico beyond cases of rape and economic reasons, to permit it regardless of the reason should the mother request it before the twelfth week of pregnancy. In December 2009, the Federal District became the first city in Latin America, and one of very few in the world, to legalize same-sex marriage.",When was gay marriage legalized in Mexico City?,"{'text': ['December 2009'], 'answer_start': [699]}"
5728d1664b864d1900164eb5,Asthma,"For those with severe persistent asthma not controlled by inhaled corticosteroids and LABAs, bronchial thermoplasty may be an option. It involves the delivery of controlled thermal energy to the airway wall during a series of bronchoscopies. While it may increase exacerbation frequency in the first few months it appears to decrease the subsequent rate. Effects beyond one year are unknown. Evidence suggests that sublingual immunotherapy in those with both allergic rhinitis and asthma improve outcomes.",What does bronchial thermoplasty consist of?,"{'text': ['It involves the delivery of controlled thermal energy to the airway wall during a series of bronchoscopies'], 'answer_start': [134]}"
570cd23eb3d812140066d289,Mary_(mother_of_Jesus),"The multiple churches that form the Anglican Communion and the Continuing Anglican movement have different views on Marian doctrines and venerative practices given that there is no single church with universal authority within the Communion and that the mother church (the Church of England) understands itself to be both ""catholic"" and ""Reformed"". Thus unlike the Protestant churches at large, the Anglican Communion (which includes the Episcopal Church in the United States) includes segments which still retain some veneration of Mary.",What is the mother church of the Angican Communion?,"{'text': ['the Church of England'], 'answer_start': [269]}"
570b28ab6b8089140040f7a5,Gregorian_calendar,"In conjunction with the system of months there is a system of weeks. A physical or electronic calendar provides conversion from a given date to the weekday, and shows multiple dates for a given weekday and month. Calculating the day of the week is not very simple, because of the irregularities in the Gregorian system. When the Gregorian calendar was adopted by each country, the weekly cycle continued uninterrupted. For example, in the case of the few countries that adopted the reformed calendar on the date proposed by Gregory XIII for the calendar's adoption, Friday, 15 October 1582, the preceding date was Thursday, 4 October 1582 (Julian calendar).",Why is calculating the days of the Gregorian calendar not simple?,"{'text': ['irregularities'], 'answer_start': [280]}"
570f46f55ab6b81900390eca,Circadian_rhythm,"It is now known that the molecular circadian clock can function within a single cell; i.e., it is cell-autonomous. This was shown by Gene Block in isolated mollusk BRNs.[clarification needed] At the same time, different cells may communicate with each other resulting in a synchronised output of electrical signaling. These may interface with endocrine glands of the brain to result in periodic release of hormones. The receptors for these hormones may be located far across the body and synchronise the peripheral clocks of various organs. Thus, the information of the time of the day as relayed by the eyes travels to the clock in the brain, and, through that, clocks in the rest of the body may be synchronised. This is how the timing of, for example, sleep/wake, body temperature, thirst, and appetite are coordinately controlled by the biological clock.[citation needed]",How are sleep and wake cycles as well as body functions coordinated?,"{'text': ['biological clock'], 'answer_start': [841]}"
5727ba513acd2414000deaba,Sichuan,"Chengdu Hi-tech Development Zone covers an area of 82.5 km2 (31.9 sq mi), consisting of the South Park and the West Park. By relying on the city sub-center, which is under construction, the South Park is focusing on creating a modernized industrial park of science and technology with scientific and technological innovation, incubation R&D, modern service industry and Headquarters economy playing leading roles. Priority has been given to the development of software industry. Located on both sides of the ""Chengdu-Dujiangyan-Jiuzhaigou"" golden tourism channel, the West Park aims at building a comprehensive industrial park targeting at industrial clustering with complete supportive functions. The West Park gives priority to three major industries i.e. electronic information, biomedicine and precision machinery.",What is the focus of the South Park?,"{'text': ['creating a modernized industrial park of science and technology'], 'answer_start': [216]}"
56d37fda59d6e41400146563,American_Idol,"The top 10 contestants started with five males and five females, however, the males were eliminated consecutively in the first five weeks, with Lazaro Arbos the last male to be eliminated. For the first time in the show's history, the top 5 contestants were all female. It was also the first time that the judges' ""save"" was not used, the top four contestants were therefore given an extra week to perform again with their votes carried over with no elimination in the first week.",How many girls were in the top 10 on season 12 of American Idol?,"{'text': ['five'], 'answer_start': [36]}"
570e37590dc6ce1900204e87,Uranium,"Many contemporary uses of uranium exploit its unique nuclear properties. Uranium-235 has the distinction of being the only naturally occurring fissile isotope. Uranium-238 is fissionable by fast neutrons, and is fertile, meaning it can be transmuted to fissile plutonium-239 in a nuclear reactor. Another fissile isotope, uranium-233, can be produced from natural thorium and is also important in nuclear technology. While uranium-238 has a small probability for spontaneous fission or even induced fission with fast neutrons, uranium-235 and to a lesser degree uranium-233 have a much higher fission cross-section for slow neutrons. In sufficient concentration, these isotopes maintain a sustained nuclear chain reaction. This generates the heat in nuclear power reactors, and produces the fissile material for nuclear weapons. Depleted uranium (238U) is used in kinetic energy penetrators and armor plating.",What is the sole fissile isotope that occurs in nature?,"{'text': ['Uranium-235'], 'answer_start': [73]}"
5726b08af1498d1400e8e776,Samoa,"Britain also sent troops to protect British business enterprise, harbour rights, and consulate office. This was followed by an eight-year civil war, during which each of the three powers supplied arms, training and in some cases combat troops to the warring Samoan parties. The Samoan crisis came to a critical juncture in March 1889 when all three colonial contenders sent warships into Apia harbour, and a larger-scale war seemed imminent. A massive storm on 15 March 1889 damaged or destroyed the warships, ending the military conflict.",How many contenders were vying for power in the war?,"{'text': ['three'], 'answer_start': [174]}"
57303f17b2c2fd1400568ae1,Roman_Republic,"The legal status of Roman citizenship was limited and was a vital prerequisite to possessing many important legal rights such as the right to trial and appeal, to marry, to vote, to hold office, to enter binding contracts, and to special tax exemptions. An adult male citizen with the full complement of legal and political rights was called ""optimo jure."" The optimo jure elected their assemblies, whereupon the assemblies elected magistrates, enacted legislation, presided over trials in capital cases, declared war and peace, and forged or dissolved treaties. There were two types of legislative assemblies. The first was the comitia (""committees""), which were assemblies of all optimo jure. The second was the concilia (""councils""), which were assemblies of specific groups of optimo jure.",Which designation of people made up the entirety of the members of a comitia?,"{'text': ['optimo jure'], 'answer_start': [682]}"
572ac3ddbe1ee31400cb8223,Philadelphia,"In the 1930s, the experimental station W3XE, owned by Philco, became the first television station in Philadelphia; it became NBC's first affiliate in 1939, and later became KYW-TV (CBS). WCAU-TV, WPVI-TV, WHYY-TV, WPHL-TV, and WTXF-TV had all been founded by the 1970s. In 1952, WFIL (now WPVI) premiered the television show Bandstand, which later became the nationally broadcast American Bandstand hosted by Dick Clark. Today, as in many large metropolitan areas, each of the commercial networks has an affiliate, and call letters have been replaced by corporate IDs: CBS3, 6ABC, NBC10, Fox29, Telefutura28, Telemundo62, Univision65, plus My PHL 17 and CW Philly 57. The region is served also by public broadcasting stations WYBE-TV (Philadelphia), WHYY-TV (Wilmington, Delaware and Philadelphia), WLVT-TV (Lehigh Valley), and NJTV (New Jersey). In September 2007, Philadelphia approved a Public-access television cable TV channel.",What show started out in the city?,"{'text': ['Bandstand'], 'answer_start': [325]}"
5726b85cf1498d1400e8e8da,Somerset,"Some of the county's secondary schools have specialist school status. Some schools have sixth forms and others transfer their sixth formers to colleges. Several schools can trace their origins back many years, such as The Blue School in Wells and Richard Huish College in Taunton. Others have changed their names over the years such as Beechen Cliff School which was started in 1905 as the City of Bath Boys' School and changed to its present name in 1972 when the grammar school was amalgamated with a local secondary modern school, to form a comprehensive school. Many others were established and built since the Second World War. In 2006, 5,900 pupils in Somerset sat GCSE examinations, with 44.5% achieving 5 grades A-C including English and Maths (compared to 45.8% for England).",In 2006 Somerset students performed how well compared to England as a whole ,"{'text': ['In 2006, 5,900 pupils in Somerset sat GCSE examinations, with 44.5% achieving 5 grades A-C including English and Maths (compared to 45.8% for England).'], 'answer_start': [633]}"
5731bb10b9d445190005e4d2,Separation_of_church_and_state_in_the_United_States,"The original charter of the Province of East Jersey had restricted membership in the Assembly to Christians; the Duke of York was fervently Catholic, and the proprietors of Perth Amboy, New Jersey were Scottish Catholic peers. The Province of West Jersey had declared, in 1681, that there should be no religious test for office. An oath had also been imposed on the militia during the French and Indian War requiring them to abjure the pretensions of the Pope, which may or may not have been applied during the Revolution. That law was replaced by 1799.","What did the Province of West Jersey specify there would not be for those running for an office, in 1681?","{'text': ['religious test'], 'answer_start': [302]}"
57098140200fba14003680cc,Copper,"Gram quantities of various copper salts have been taken in suicide attempts and produced acute copper toxicity in humans, possibly due to redox cycling and the generation of reactive oxygen species that damage DNA. Corresponding amounts of copper salts (30 mg/kg) are toxic in animals. A minimum dietary value for healthy growth in rabbits has been reported to be at least 3 ppm in the diet. However, higher concentrations of copper (100 ppm, 200 ppm, or 500 ppm) in the diet of rabbits may favorably influence feed conversion efficiency, growth rates, and carcass dressing percentages.",When ingested in large amounts what does copper salts produce in humans?,"{'text': ['copper toxicity'], 'answer_start': [95]}"
57264da2dd62a815002e8106,Department_store,"A novelty shop called Au Bon Marché had been founded in Paris in 1838 to sell lace, ribbons, sheets, mattresses, buttons, umbrellas and other assorted goods. It originally had four departments, twelve employees, and a floor space of three hundred meters. The entrepreneur Aristide Boucicaut became a partner in 1852, and changed the marketing plan, instituting fixed prices and guarantees that allowed exchanges and refunds, advertising, and a much wider variety of merchandise. The annual income of the store increased from 500,000 francs in 1852 to five million in 1860. In 1869 he built much larger building at 24 rue de Sèvres on the Left Bank, and enlarged the store again in 1872, with help from the engineering firm of Gustave Eiffel, creator of the Eiffel Tower. The income rose from twenty million francs in 1870 to 72 million at the time of the Boucicaut's death in 1877. The floor space had increased from three hundred square meters in 1838 to fifty thousand, and the number of employees had increased from twelve in 1838 to 1788 in 1879. Boucicaut was famous for his marketing innovations; a reading room for husbands while their wives shopped; extensive newspaper advertising; entertainment for children; and six million catalogs sent out to customers. By 1880 half the employees were women; unmarried women employees lived in dormitories on the upper floors.","What store was founded in Paris, in 1838, which sold a wide variety of products? ","{'text': ['Au Bon Marché'], 'answer_start': [22]}"
570da87816d0071400510c61,Antarctica,"Melting of floating ice shelves (ice that originated on the land) does not in itself contribute much to sea-level rise (since the ice displaces only its own mass of water). However it is the outflow of the ice from the land to form the ice shelf which causes a rise in global sea level. This effect is offset by snow falling back onto the continent. Recent decades have witnessed several dramatic collapses of large ice shelves around the coast of Antarctica, especially along the Antarctic Peninsula. Concerns have been raised that disruption of ice shelves may result in increased glacial outflow from the continental ice mass.",What weather event would offset loss of ice shelves?,"{'text': ['snow falling'], 'answer_start': [312]}"
57266bb4f1498d1400e8df32,Napoleon,"During the campaign, Bonaparte became increasingly influential in French politics. He founded two newspapers: one for the troops in his army and another for circulation in France. The royalists attacked Bonaparte for looting Italy and warned that he might become a dictator. All told, Napoleon's forces extracted an estimated $45 million in funds from Italy during their campaign there, another $12 million in precious metals and jewels; atop that, his forces confiscated more than three-hundred priceless paintings and sculptures. Bonaparte sent General Pierre Augereau to Paris to lead a coup d'état and purge the royalists on 4 September—Coup of 18 Fructidor. This left Barras and his Republican allies in control again but dependent on Bonaparte, who proceeded to peace negotiations with Austria. These negotiations resulted in the Treaty of Campo Formio, and Bonaparte returned to Paris in December as a hero. He met Talleyrand, France's new Foreign Minister—who later served in the same capacity for Emperor Napoleon—and they began to prepare for an invasion of Britain.",For what action during the Italian campaign did the royalists condemn Bonaparte?,"{'text': ['looting'], 'answer_start': [217]}"
572fc34c947a6a140053cc6e,Armenia,"Due to its position between two unfriendly neighbours, Armenia has close security ties with Russia. At the request of the Armenian government, Russia maintains a military base in the northwestern Armenian city of Gyumri as a deterrent against Turkey.[citation needed] Despite this, Armenia has also been looking toward Euro-Atlantic structures in recent years. It maintains good relations with the United States especially through its Armenian diaspora. According to the US Census Bureau, there are 427,822 Armenians living in the country.",Russia has a military base in which city in Armenia?,"{'text': ['Gyumri'], 'answer_start': [213]}"
