question,answer,passage,ambiguous_question,unambiguous_question,domain_idx,domain,intent,dtype,RAW_NO_DTYPE_raw_question_answered_by_gpt35_correct,RAW_NO_DTYPE_analyzed_question_answered_by_gpt35_correct,RAW_NO_DTYPE_analyzed_question_answered_by_gpt35,RAW_NO_DTYPE_raw_question_answered_by_gpt35,RAW_ALL_raw_question_answered_by_gpt35_correct,RAW_ALL_analyzed_question_answered_by_gpt35_correct,RAW_ALL_analyzed_question_answered_by_gpt35,RAW_ALL_raw_question_answered_by_gpt35,RAW_NO_DOMAIN_raw_question_answered_by_gpt35_correct,RAW_NO_DOMAIN_analyzed_question_answered_by_gpt35_correct,RAW_NO_DOMAIN_analyzed_question_answered_by_gpt35,RAW_NO_DOMAIN_raw_question_answered_by_gpt35,RAW_NO_INTENT_raw_question_answered_by_gpt35_correct,RAW_NO_INTENT_analyzed_question_answered_by_gpt35_correct,RAW_NO_INTENT_analyzed_question_answered_by_gpt35,RAW_NO_INTENT_raw_question_answered_by_gpt35
is lost in space on netflix a series,True,"Lost in Space is an American science fiction television series based on a re-imagining of the 1965 series of the same name (itself a re-imagining of the 1812 novel The Swiss Family Robinson), following the adventures of a family of pioneering space colonists whose ship veers off-course. It is written by Matt Sazama and Burk Sharpless and consists of ten episodes produced by Legendary Television, Synthesis Entertainment, Clickety-Clack Productions, and Applebox Entertainment, with Zack Estrin serving as showrunner. Netflix released the series on April 13, 2018. In May 2018, the series was renewed for a second season.",is lost in space on netflix a series,is lost in space on netflix a series,0,COMMUNITY,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
is the caribbean part of the united states,False,"The United States Virgin Islands (USVI; also called the American Virgin Islands), officially the Virgin Islands of the United States, is a group of islands in the Caribbean that is an insular area of the United States located 40 miles (64 km) east of Puerto Rico. The islands are geographically part of the Virgin Islands archipelago and are located in the Leeward Islands of the Lesser Antilles. It is the easternmost point (in terms of jurisdiction) and territory of the United States.",is the caribbean part of the united states,is the caribbean part of the united states,0,REGIONAL,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False
is there a follow up movie to i am number four,False,"In 2011, screenwriter Noxon told Collider.com that plans for an imminent sequel were shelved due to the disappointing performance of the first installment at the box office.",is there a follow up movie to i am number four,is there a follow up movie to i am number four,0,COMMUNITY,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True
is there going to be a season 2 of jamestown,True,"Jamestown is a 2017 British drama television series, written by Bill Gallagher and produced by Carnival Films, the makers of Downton Abbey. Set in 1619, Jamestown follows the first English settlers as they establish a community in the New World. Among those landing onshore are a group of women destined to be married to the men of Jamestown, including three spirited women from England. The series premiered on Sky One in the United Kingdom in May 2017. Sky ordered a second series of Jamestown in May 2017, before the premiere of the first series. Series 2 aired from February 2018. The renewal of Jamestown for a third season was announced by Sky One on March 23, 2018.",is there going to be a season 2 of jamestown,is there going to be a season 2 of jamestown,0,COMMUNITY,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,True,False,False,True,True,False,False,True,True,True,True,True,True,False,False,True
do you need a license for a tv in england,True,"In the United Kingdom and the Crown dependencies, any household watching or recording live television transmissions as they are being broadcast (terrestrial, satellite, cable, or Internet) is required to hold a television licence. Businesses, hospitals, schools and a range of other organisations are also required to hold television licences to watch and record live TV broadcasts. A television licence is also required to receive video on demand programme services provided by the BBC, on the iPlayer catch-up service.",do you need a license for a tv in england,do you need a license for a tv in england,0,BUSINESS,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
will there be a season 3 of marseilles,False,"Marseille is a French drama web television series created by Dan Franck starring Gérard Depardieu. The series is the first French language original production for Netflix, which ordered the project to series on July 10, 2015. The eight-episode first season premiered worldwide on Netflix on May 5, 2016. A second season was ordered on June 6, 2016. Production for the second season commenced on April 18, 2017. The second season debuted in February 2018. Netflix cancelled the show after 2 seasons.",will there be a season 3 of marseilles,will there be a season 3 of marseilles,0,COMMUNITY,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,True
is there a national health service in spain,True,"The Spanish National Health System (Spanish: Sistema Nacional de Salud, SNS) is the agglomeration of public health services that has existed in Spain since it was established through and structured by the Ley General de Sanidad (the ``General Health Law'') of 1986. Management of these services has been progressively transferred to the distinct autonomous communities of Spain, while some continue to be operated by the National Institute of Health Management (Instituto Nacional de Gestión Sanitaria, INGESA), part of the Ministry of Health and Social Policy (which superseded the Ministry of Health and Consumer Affairs--Ministerio de Sanidad y Consumo--in 2009). The activity of these services is harmonized by the Interterritorial Council of the Spanish National Health Service (Consejo Interterritorial del Servicio Nacional de Salud de España, CISNS) in order to give cohesion to the system and to guarantee the rights of citizens throughout Spain.",is there a national health service in spain,is there a national health service in spain,0,MEDICAL,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
can i own a handgun at 20 in texas,True,"Texas has no laws regarding possession of any firearm regardless of age, without felony convictions; all existing restrictions in State law mirror Federal law. A person of any age, except certain Felons, can possess a firearm such as at a firing range. Texas and Federal law only regulate the ownership of all firearms to 18 years of age or older, and regulate the transfer of handguns to 21 years or older by FFL dealers. However, a private citizen may sell, gift, lease etc. a handgun to anyone over 18 who is not Felon or is a Felon that is 5 years removed from Felony infraction of probation or parole end date and is now a law abiding citizen. NFA weapons are also only subject to Federal restrictions; no State regulations exist. Municipal and county ordinances on possession and carry are generally overridden (preempted) due to the wording of the Texas Constitution, which gives the Texas Legislature (and it alone) the power to ``regulate the wearing of arms, with a view to prevent crime''. Penal Code Section 1.08 also prohibits local jurisdictions from enacting or enforcing any law that conflicts with State statute. Local ordinances restricting discharge of a firearm are generally allowed as State law has little or no specification thereof, but such restrictions do not preempt State law concerning justification of use of force and deadly force.",can i own a handgun at 20 in texas,can i own a handgun at 20 in texas,0,GOVERNMENTAL,"Instructional: Queries specifically seeking step-by-step guidance, instructions, or procedures to perform a task. it focuses on 'how' to do something rather than 'what', 'why', or 'which'.",Simple Datatype-Boolean,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
do you need a license to carry a concealed weapon in missouri,False,"In September 2016, another Senate bill coincidentally numbered SB 656 was passed allowing permitless concealed carry by anyone 19 years of age or older who may lawfully own a gun. This bill was also vetoed by Governor Nixon, on June 27, 2016. After the Missouri legislature reconvened for the veto-override session on September 14, 2016, the Senate voted to override the veto with a 24 -- 6 vote (23 required) and the House followed through shortly thereafter with a 112 -- 41 vote (109 required). The permitless carry provision of the bill went into effect on January 1, 2017.",do you need a license to carry a concealed weapon in missouri,do you need a license to carry a concealed weapon in missouri,0,BUSINESS,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True
does dennis become a vampire in hotel transylvania 2,True,"While the family argues, Dennis sadly flees the hotel and enters the forest with Winnie in tow, hiding in her treehouse. They are attacked by Bela, who mistakes Dennis for a human. When Bela injures Winnie and threatens to destroy the hotel, Dennis' anger causes him to instantly grow his fangs and his vampire abilities manifest. He begins to fight Bela, who calls his giant-bat minions. Drac, Mavis, Dennis, Johnny, the rest of the monsters and Johnny's family team up to defeat his minions. A livid Bela then attempts to kill Johnny himself with a stake. Having been won over by Drac's claim that humans are harmless now, Vlad shrinks Bela and tells him never to bother his family again. Bela then flees.",does dennis become a vampire in hotel transylvania 2,does dennis become a vampire in hotel transylvania 2,0,COMMUNITY,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
is reba mcentire's son a race car driver,True,"Shelby Steven McEntire Blackstock (born February 23, 1990 in Nashville, Tennessee) is an American race car driver. He is the son of country music singer Reba McEntire and her ex-husband Narvel Blackstock. His older half-brother, Brandon Blackstock, is married to singer Kelly Clarkson. He also has two older half-sisters, Shawna and Chassidy.",is reba mcentire's son a race car driver,is reba mcentire's son a race car driver,0,COMMUNITY,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
is systemic functional grammar a contemporary language theory,True,"Systemic functional grammar (SFG) is a form of grammatical description originated by Michael Halliday. It is part of a social semiotic approach to language called systemic functional linguistics. In these two terms, systemic refers to the view of language as ``a network of systems, or interrelated sets of options for making meaning''; functional refers to Halliday's view that language is as it is because of what it has evolved to do (see Metafunction). Thus, what he refers to as the multidimensional architecture of language ``reflects the multidimensional nature of human experience and interpersonal relations.''",is systemic functional grammar a contemporary language theory,is systemic functional grammar a contemporary language theory,0,SCIENCE,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
each state must have a republican form of government,True,"This clause, sometimes referred to as the Guarantee Clause, has long been at the forefront of the debate about the rights of citizens vis-à-vis the government. The Guarantee Clause mandates that all U.S. states must be grounded in republican principles such as the consent of the governed. By ensuring that all states must have the same basic republican philosophy, the Guarantee Clause is one of several portions of the Constitution which mandates symmetric federalism between the states.",each state must have a republican form of government,each state must have a republican form of government,0,GOVERNMENTAL,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,True,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True
will there be a 6th season of once upon a time,True,"The sixth season of the American ABC fantasy-drama Once Upon a Time was ordered on March 3, 2016. It debuted on September 25, 2016, and concluded on May 14, 2017. In January 2017, it was stated that the sixth season would end the main storyline, and for a seventh season, the series would be softly rebooted with a new storyline.",will there be a 6th season of once upon a time,will there be a 6th season of once upon a time,0,COMMUNITY,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,True,False,False,True,True,False,False,True,True,True,True,True,True,False,False,True
did the raiders move to las vegas yet,False,"On January 2, 2018, the Henderson city council approved the sale of 55 vacant acres of land to the Raiders for their new headquarters and practice facility near Henderson Executive Airport. In January, construction crews began blasting caliche rock with dynamite to excavate and create the stadium bowl. As of April 2018, more than 30 Raiders employees had already relocated to Las Vegas from Oakland.",did the raiders move to las vegas yet,did the raiders move to las vegas yet,0,REGIONAL,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True
is university of northern iowa a d1 school,True,The Northern Iowa Panthers are the athletic teams of the University of Northern Iowa. The university is a member of the Missouri Valley Conference and competes in NCAA Division I (Division I FCS in football).,is university of northern iowa a d1 school,is university of northern iowa a d1 school,0,COMMUNITY,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True
will ash come back to home and away,False,"In April 2018, Mason confirmed that he was leaving Home and Away and had already filmed his final scenes. Mason commented that the role had been ``a dream job'', but it was also ``overwhelming'' playing a main character on the show. The show aired a temporary exit for Ash on 26 April 2018. His final appearance occurred during the episode broadcast on 20 June.",will ash come back to home and away,will ash come back to home and away,0,COMMUNITY,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,False,True,False,True,True,True,False,False,False,False,True,True,False,True,False,True
is cracked wheat and bulgur the same thing,False,"Bulgur is recognized as a whole grain by the United States Department of Agriculture. Bulgur is sometimes confused with cracked wheat, which is crushed wheat grain that has not been parboiled. Instead, bulgur is cracked wheat that has been partially cooked. Bulgur is a common ingredient in cuisines of many countries of the Middle East and Mediterranean Basin. It has a light, nutty flavor.",is cracked wheat and bulgur the same thing,is cracked wheat and bulgur the same thing,0,MISCELLANEOUS,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True
do i need a visa to go to andorra,False,"The Andorran government imposes no visa requirements on its visitors and only requires a passport or European Union national identity card for entrance. However, since the country is only accessible via the Schengen countries of Spain or France, entrance is not possible without entering the Schengen area first and the Schengen visa rules can therefore be regarded to apply de facto. Because Andorra is not part of the Schengen area, a multiple entry visa is required to re-enter the Schengen area when leaving Andorra. Foreign visitors looking to stay in Andorra more than 90 days require a residence permit.(2)",do i need a visa to go to andorra,do i need a visa to go to andorra,0,REGIONAL,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True
is 7.62 x54 the same as 30 06,False,"Because of performance similar to the iconic American .30-06 cartridge, a similarly rich military and historic heritage, and amazing longevity, the 7.62×54mmR is nicknamed ``the Russian .30-06'' by some . It is also one of the few (along with the .22 Hornet, .30-30 Winchester, and .303 British) bottlenecked, rimmed centerfire rifle cartridges still in common use today. Most of the bottleneck rimmed cartridges of the late 1880s and 1890s fell into disuse by the end of the First World War.",is 7.62 x54 the same as 30 06,is 7.62 x54 the same as 30 06,0,SCIENCE,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False
did the movie to kill a mockingbird win any academy awards,True,"The film received overwhelmingly positive reviews from critics and was a box-office success, earning more than six times its budget. The film won three Academy Awards, including Best Actor for Peck, and was nominated for eight, including Best Picture.",did the movie to kill a mockingbird win any academy awards,did the movie to kill a mockingbird win any academy awards,0,COMMUNITY,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
does the metro north go to middletown ny,True,"The Middletown--Town of Walkill Metro-North station, often just referred to as the Middletown station, serves the residents of Middletown and Town of Wallkill in Orange County, New York. Service is to Hoboken, 71.9 miles (116 km) via the Port Jervis Line; travel time is an hour and 40 minutes. Like all Port Jervis Line stations, this station serves commuters from a wide area. Many commuters use nearby NY 17 to reach the station from communities in Sullivan County such as Wurtsboro and Monticello. Two trains end at this station on weekdays, with one Hoboken-bound train departing Middletown as well.",does the metro north go to middletown ny,does the metro north go to middletown ny,0,GOVERNMENTAL,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True
is there a clip at the end of inifinity war,True,"In a post-credits scene, Nick Fury transmits a signal as he, Maria Hill, and others disintegrate. The transmitter displays a starburst insignia on a red-and-blue background.",is there a clip at the end of inifinity war,is there a clip at the end of inifinity war,0,MISCELLANEOUS,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
is the movie a walk in the woods based on a true story,True,"A Walk in the Woods is a 2015 American biographical comedy-drama film directed by Ken Kwapis, based on the 1998 book/memoir of the same name by Bill Bryson. The film stars Robert Redford, Nick Nolte and Emma Thompson. The film was released on September 2, 2015, by Broad Green Pictures.",is the movie a walk in the woods based on a true story,is the movie a walk in the woods based on a true story,0,COMMUNITY,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
is there a post office in grand central station,False,"Although the terminal has been officially called ``Grand Central Terminal'' since the present structure opened, it has ``always been more colloquially and affectionately known as Grand Central Station'', a name of one of the earlier railroad stations on the same site. ``Grand Central Station'' is the name of the nearby U.S. Post Office station at 450 Lexington Avenue, but may also refer to the Grand Central--42nd Street subway station that is located next to the terminal. The name was also used for the renovated Grand Central Depot, from 1900 until its demolition in 1903.",is there a post office in grand central station,is there a post office in grand central station,0,REGIONAL,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True
is a major the same as a masters,False,An academic major is the academic discipline to which an undergraduate student formally commits. A student who successfully completes all courses required for the major qualifies for an undergraduate degree. The word ``major'' is also sometimes used administratively to refer to the academic discipline pursued by a graduate student or postgraduate student in a master's or doctoral program.,is a major the same as a masters,is a major the same as a masters,0,BUSINESS,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False
is captain america part of the justice league,False,The Justice League is a team of comic book superheroes in the DC Comics Universe. Over the years they have featured a large number of characters in a variety of combinations.,is captain america part of the justice league,is captain america part of the justice league,0,COMMUNITY,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False
can you enter bosnia with a schengen visa,True,"Valid multiple entry visa holders and residents of the European Union, Schengen Area member states, and United States of America can enter Bosnia and Herzegovina without a visa for a maximum stay of 30 days. This is not applicable to holders of Kosovan passport.",can you enter bosnia with a schengen visa,can you enter bosnia with a schengen visa,0,INTERNATIONAL,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True
do the irish celebrate st. patty's day,True,"Saint Patrick's Day is a public holiday in the Republic of Ireland, Northern Ireland, the Canadian province of Newfoundland and Labrador (for provincial government employees), and the British Overseas Territory of Montserrat. It is also widely celebrated by the Irish diaspora around the world, especially in the United Kingdom, Canada, United States, Brazil, Argentina, Australia and New Zealand. Saint Patrick's Day is celebrated in more countries than any other national festival. Modern celebrations have been greatly influenced by those of the Irish diaspora, particularly those that developed in North America. In recent years, there has been criticism of Saint Patrick's Day celebrations for having become too commercialised and for fostering negative stereotypes of the Irish people.",do the irish celebrate st. patty's day,do the irish celebrate st. patty's day,0,COMMUNITY,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
